name,years_in_top1000,total_share
ABIGAIL,85,0.123764
MURIEL,85,0.055598
TONI,85,0.053716
HAYDEN,85,0.036591
ANNABELLE,85,0.024063
CLARICE,85,0.023390
NONA,85,0.019413
BERNADINE,85,0.018954
LORNA,85,0.018493
EARLE,85,0.018363
IRWIN,85,0.018153
CATHARINE,85,0.016780
SYBIL,85,0.016376
RUTHIE,85,0.014873
AUDRA,85,0.014167
ALPHA,85,0.013865
MARIETTA,85,0.013761
HERSCHEL,85,0.013179
WELDON,85,0.012179
ABRAM,85,0.008967
EMMITT,85,0.007279
JOANN,84,0.102675
GOLDIE,84,0.062097
ADELINE,84,0.047463
CECILE,84,0.025630
MAYNARD,84,0.015707
LORAINE,84,0.014738
FERDINAND,84,0.014172
FREDDY,84,0.013226
ROLLAND,84,0.010181
VITO,84,0.009974
KING,84,0.009904
PETRA,84,0.008901
RALEIGH,84,0.008894
HAYWOOD,84,0.008224
THAD,84,0.006024
NETTIE,83,0.112689
DELORES,83,0.086602
ESTELLE,83,0.079702
CARLA,83,0.079696
MABLE,83,0.078245
EULA,83,0.072081
BETTIE,83,0.046543
KURT,83,0.043851
HARRIETT,83,0.030200
NEVA,83,0.024401
MYRNA,83,0.023084
WILLA,83,0.021415
MARINA,83,0.016695
ALPHONSE,83,0.013455
REESE,83,0.012971
LYMAN,83,0.012803
WILBURN,83,0.011870
LUCIUS,83,0.011837
NAN,83,0.011470
ZELDA,83,0.010775
OLIN,83,0.010334
WINFRED,83,0.009502
WARNER,83,0.008528
CELESTINE,83,0.008036
MAUDE,82,0.171680
MATILDA,82,0.055537
JOEY,82,0.026253
SELENA,82,0.021713
GWEN,82,0.016149
LETA,82,0.014499
CYRIL,82,0.013792
DEWAYNE,82,0.013467
LANE,82,0.013176
FOSTER,82,0.012892
QUINTON,82,0.012534
BUFORD,82,0.012196
OCTAVIA,82,0.011277
ROWENA,82,0.009847
DELPHINE,82,0.008552
ALFREDA,82,0.008490
RUBIN,82,0.007214
BENEDICT,82,0.005956
BENTON,82,0.005324
BEULAH,81,0.130035
CALEB,81,0.095524
LIZZIE,81,0.095225
AUGUSTA,81,0.041043
LEOLA,81,0.037254
RAQUEL,81,0.024429
JANNIE,81,0.015861
DEWITT,81,0.011818
ENOCH,81,0.011520
RHEA,81,0.010029
BART,81,0.009829
HERSHEL,81,0.008933
BURL,81,0.008807
VERNE,81,0.008672
JULES,81,0.008287
JOSEFINA,81,0.006944
ANGELITA,81,0.006312
LOTTIE,80,0.096094
DEVIN,80,0.072534
ALTA,80,0.050494
ROSEMARIE,80,0.032284
AIMEE,80,0.029411
KENNY,80,0.025198
LESSIE,80,0.021877
ALYCE,80,0.014471
QUEEN,80,0.013011
EMILE,80,0.010481
LENNIE,80,0.008277
WILTON,80,0.007836
OTHA,80,0.007597
HOYT,80,0.007531
GLENDA,79,0.065374
FRIEDA,79,0.042267
VIRGIE,79,0.035301
DOMINIQUE,79,0.034589
MICAH,79,0.032360
DOLLIE,79,0.032293
GUSSIE,79,0.027021
OPHELIA,79,0.020855
LEONARDO,79,0.016732
TERRELL,79,0.016661
COLUMBUS,79,0.015248
MARGERY,79,0.014850
LONA,79,0.014405
JULIANNE,79,0.014337
PORTER,79,0.011323
LAURETTA,79,0.011115
JARVIS,79,0.008206
DOTTIE,79,0.007045
ODIE,79,0.006276
JEFFREY,78,0.502756
JORGE,78,0.056558
JOCELYN,78,0.039460
DEVON,78,0.039454
WINNIE,78,0.035918
ELNORA,78,0.027978
JANELLE,78,0.025383
ABE,78,0.017558
MARTY,78,0.016648
JERALD,78,0.015220
CORINE,78,0.015203
ISMAEL,78,0.014177
ELMO,78,0.013985
MCKINLEY,78,0.012089
MELVA,78,0.011599
BUSTER,78,0.011513
ROGELIO,78,0.011069
MILFORD,78,0.009821
CARMINE,78,0.008646
ADELA,78,0.007692
DORSEY,78,0.007096
TREVA,78,0.006862
DOMENIC,78,0.005328
HEATHER,77,0.294666
HOLLY,77,0.106330
LAURIE,77,0.087635
BRENT,77,0.072116
DARRYL,77,0.046746
SELMA,77,0.038400
WOODROW,77,0.037766
TERRANCE,77,0.034437
ELMA,77,0.030462
LELIA,77,0.026176
KASEY,77,0.020420
ODESSA,77,0.018230
TERENCE,77,0.017125
KERMIT,77,0.015601
NEWTON,77,0.014707
CARMELLA,77,0.013524
SELINA,77,0.009442
WINONA,77,0.009414
FREIDA,77,0.009128
ESPERANZA,77,0.008679
GARNET,77,0.008523
LAWSON,77,0.006881
ELDRIDGE,77,0.005617
KATHY,76,0.174747
CORY,76,0.065610
LANCE,76,0.051722
NELL,76,0.043523
CLAUD,76,0.027620
ZELMA,76,0.022757
LOUELLA,76,0.017199
RODGER,76,0.012512
MERLIN,76,0.011583
MARGRET,76,0.010257
PASQUALE,76,0.008902
HARMON,76,0.008780
VEDA,76,0.008730
HUMBERTO,76,0.007462
BUCK,76,0.007268
DAYTON,76,0.006464
ALFORD,76,0.006379
TODD,75,0.148946
CODY,75,0.132012
OLIVE,75,0.096603
MARC,75,0.071052
LUELLA,75,0.047989
BAILEY,75,0.045155
SONYA,75,0.035259
IMOGENE,75,0.025669
MARCOS,75,0.020218
MOSE,75,0.018396
ROSALYN,75,0.010663
NOBLE,75,0.009964
GEORGIANNA,75,0.008629
VALENTINE,75,0.007658
HARDY,75,0.007352
LUCIOUS,75,0.005997
CATHRINE,75,0.005907
STANFORD,75,0.005497
WILLIAMS,75,0.004789
ALEXANDRA,74,0.102829
IAN,74,0.086563
MARCO,74,0.029479
ILA,74,0.025846
BONITA,74,0.022371
ELINOR,74,0.018291
ROSELLA,74,0.017234
DANTE,74,0.016423
ALINE,74,0.015241
BOOKER,74,0.014389
IKE,74,0.013656
WILDA,74,0.013001
STEPHAN,74,0.012853
ORVAL,74,0.012188
MONTE,74,0.011615
ODIS,74,0.008394
CLEMENTINE,74,0.008215
OREN,74,0.008213
RETA,74,0.008058
PIERCE,74,0.007651
TWILA,74,0.007521
MILLICENT,74,0.007248
LUCIEN,74,0.006841
BRICE,74,0.006726
ROLLIN,74,0.006117
WENDY,73,0.142442
KRISTIN,73,0.098249
DEANNA,73,0.075288
KARLA,73,0.043361
ARIEL,73,0.031712
MELBA,73,0.029247
ERICK,73,0.028598
CHRISTIE,73,0.025737
HESTER,73,0.025621
WILHELMINA,73,0.019315
PANSY,73,0.015300
ANTOINE,73,0.013366
INGRID,73,0.012069
LINA,73,0.011217
JEANIE,73,0.009724
RETHA,73,0.009345
GEORGIANA,73,0.009259
GRANVILLE,73,0.008714
THEODORA,73,0.007413
CARROL,73,0.007324
LEANDER,73,0.005819
EDDY,73,0.005792
MAC,73,0.005132
ART,73,0.005077
DEBRA,72,0.281474
DANIELLE,72,0.191071
MELANIE,72,0.115419
JILL,72,0.115032
GINA,72,0.082348
SAVANNAH,72,0.062950
LUCILE,72,0.054939
TYRONE,72,0.040315
ADELAIDE,72,0.026786
SOFIA,72,0.026772
CARA,72,0.025672
GEORGIE,72,0.016099
CATHLEEN,72,0.015609
MORTON,72,0.015207
ISABELL,72,0.014587
REVA,72,0.011998
HARRIETTE,72,0.010409
WINFIELD,72,0.010087
BELVA,72,0.009884
LUE,72,0.009244
CLEVE,72,0.007668
OLEN,72,0.007423
ALDO,72,0.006433
ROGERS,72,0.006037
CORNELL,72,0.005194
FELTON,72,0.005072
CARLETON,72,0.004461
SAMANTHA,71,0.265991
CINDY,71,0.131571
SHERRY,71,0.126139
TANYA,71,0.064995
NANNIE,71,0.063475
TRACEY,71,0.050904
FLOSSIE,71,0.042656
ZELLA,71,0.020170
JEANNIE,71,0.019597
SUSANNE,71,0.014794
AMBROSE,71,0.012728
KRIS,71,0.012585
AMIE,71,0.012391
ELLSWORTH,71,0.011777
LUZ,71,0.011748
GARFIELD,71,0.011711
FLORINE,71,0.011597
LAMONT,71,0.011530
AURELIA,71,0.009808
LUCIAN,71,0.007420
CLETUS,71,0.007394
RUPERT,71,0.006928
MERRITT,71,0.006053
WALTON,71,0.005941
ELROY,71,0.005856
ROSARIO,71,0.005541
GARTH,71,0.005202
NICOLE,70,0.308988
APRIL,70,0.129249
MICHELE,70,0.122557
JEFFERY,70,0.116675
TAMARA,70,0.070782
GEOFFREY,70,0.027865
LANA,70,0.024183
FRANCINE,70,0.019606
EDYTHE,70,0.019519
DESSIE,70,0.019090
MINA,70,0.016898
EDD,70,0.015135
CLEM,70,0.008854
CLAUDINE,70,0.007990
ARTHER,70,0.007985
MANUELA,70,0.006961
ROMEO,70,0.006640
CLARANCE,70,0.005991
HILTON,70,0.005303
HOWELL,70,0.004565
HAYWARD,70,0.004386
RICKY,69,0.108232
ERIK,69,0.073473
ALISON,69,0.054470
JAVIER,69,0.040295
GARRY,69,0.025445
LINNIE,69,0.015916
LEORA,69,0.012550
CORDELIA,69,0.011938
OMER,69,0.011207
LIZA,69,0.009998
BERTA,69,0.008504
PALMER,69,0.007300
DELMA,69,0.007204
ALVIE,69,0.005199
GOLDEN,69,0.004982
GINO,69,0.004910
ALVIS,69,0.004811
HEIDI,68,0.074077
LUCAS,68,0.067660
BRAD,68,0.042963
BIRDIE,68,0.027181
ROCHELLE,68,0.025469
MADGE,68,0.023216
MAUDIE,68,0.020704
LURA,68,0.016764
JUNIUS,68,0.008535
EARLY,68,0.007080
ADOLPHUS,68,0.006232
BRANDON,67,0.352123
CHERYL,67,0.235672
CASSANDRA,67,0.085176
BECKY,67,0.046227
CANDACE,67,0.045008
MARIAH,67,0.044869
MELODY,67,0.041268
DIANNA,67,0.029586
LETTIE,67,0.017801
ELEANORE,67,0.017209
LEOTA,67,0.015665
SEYMOUR,67,0.014113
IONA,67,0.013541
DARNELL,67,0.013199
VADA,67,0.011590
ILENE,67,0.010839
ADAN,67,0.008774
CHARMAINE,67,0.008228
MELVINA,67,0.007927
ORIN,67,0.005568
FREDRIC,67,0.005308
DORCAS,67,0.005195
OBIE,67,0.004912
GONZALO,67,0.004040
STANTON,67,0.003796
JEREMY,66,0.219719
SEAN,66,0.203953
DORTHY,66,0.016307
OMA,66,0.016302
DOVIE,66,0.016105
NELDA,66,0.014606
MAVIS,66,0.014190
IOLA,66,0.013266
ESTEBAN,66,0.011211
ELDA,66,0.009286
ROSLYN,66,0.009278
ALLENE,66,0.008795
NOE,66,0.008143
LOVIE,66,0.007924
ENID,66,0.007264
SHEA,66,0.006900
ELZIE,66,0.006450
ELMORE,66,0.006242
MARIANNA,66,0.006159
HERMON,66,0.004930
FEDERICO,66,0.003268
KRISTEN,65,0.116854
DEREK,65,0.109144
JARED,65,0.095766
CAROLE,65,0.076674
BRENDAN,65,0.039401
SERGIO,65,0.031994
JADE,65,0.030459
ROXANNE,65,0.029068
ABBY,65,0.025351
LYNETTE,65,0.022058
NIKKI,65,0.020868
GERTIE,65,0.018197
ARLINE,65,0.016485
KEN,65,0.016224
QUINN,65,0.012995
VIDA,65,0.011942
ONA,65,0.011744
MAZIE,65,0.010198
IDELLA,65,0.008741
UNKNOWN,65,0.008467
WILBER,65,0.008230
MAGDALENE,65,0.007492
GEORGETTE,65,0.007214
DELMER,65,0.006986
ROMA,65,0.006285
GAYLORD,65,0.005678
LAFAYETTE,65,0.005587
ARDEN,65,0.005049
GILES,65,0.004808
MAHLON,65,0.004540
MURPHY,65,0.004258
TONEY,65,0.004123
CHAD,64,0.129824
ETHAN,64,0.128248
BRETT,64,0.079249
KRISTINA,64,0.072110
CHRISTY,64,0.054910
KATRINA,64,0.053164
REBEKAH,64,0.035215
JANIS,64,0.028218
EMMANUEL,64,0.024145
JANA,64,0.022345
CHERIE,64,0.016191
GUSTAVO,64,0.015098
JAYNE,64,0.014420
JOLENE,64,0.014416
EARLINE,64,0.013166
DANE,64,0.013123
IONE,64,0.013121
FLOY,64,0.012399
VERDA,64,0.011150
RORY,64,0.010500
GENERAL,64,0.008338
WALDO,64,0.008156
DORRIS,64,0.007017
LEATHA,64,0.006550
WEBSTER,64,0.006081
CHERRY,64,0.005844
ELWIN,64,0.005072
HOSEA,64,0.004974
RAYMON,64,0.004823
ELOY,64,0.003139
ZACHARY,63,0.236096
ERICA,63,0.122308
SHELLY,63,0.045979
JONATHON,63,0.031076
DELORIS,63,0.024281
SONJA,63,0.021462
ALANA,63,0.020767
ALVINA,63,0.016172
DOCK,63,0.016028
ERNA,63,0.014096
VESTA,63,0.013281
ROCKY,63,0.011947
LADONNA,63,0.011716
CONCETTA,63,0.011704
INDIA,63,0.011228
ROLANDO,63,0.010431
PHILOMENA,63,0.009912
AGATHA,63,0.009732
DENNY,63,0.007637
LEONORA,63,0.007459
BENITA,63,0.006857
MYRTIS,63,0.006735
EASTER,63,0.006666
HELLEN,63,0.005780
MARGARETTE,63,0.005688
OTTIS,63,0.005232
ANTONE,63,0.005206
AIDA,63,0.004291
AUDIE,63,0.004084
BERNARDO,63,0.003923
KENTON,63,0.003885
KRISTINE,62,0.045242
KENDRA,62,0.044999
XAVIER,62,0.040339
PATTY,62,0.037769
SHAUN,62,0.035040
TILLIE,62,0.031270
GERARDO,62,0.021811
LEANNE,62,0.014379
UNA,62,0.009599
SILVIA,62,0.008575
ZOLA,62,0.008304
ROSALEE,62,0.006784
MERTON,62,0.006458
TURNER,62,0.006217
ANNABEL,62,0.006159
ZONA,62,0.005813
LONZO,62,0.005013
ORRIN,62,0.004861
OSSIE,62,0.004338
BOYCE,62,0.004285
MELTON,62,0.003551
DEBBIE,61,0.094566
DERRICK,61,0.069694
RICK,61,0.040002
BELINDA,61,0.036513
RICKEY,61,0.029888
CESAR,61,0.028858
DOREEN,61,0.025196
JOSIAH,61,0.024166
RON,61,0.018339
DINA,61,0.014598
BELLA,61,0.014331
MITTIE,61,0.014140
JEANINE,61,0.012832
ALOYSIUS,61,0.008669
CURT,61,0.008472
STEVIE,61,0.007769
LAVINA,61,0.007589
NATHALIE,61,0.007211
JANELL,61,0.007194
GRACIELA,61,0.006804
ADELL,61,0.006525
JOHNSON,61,0.005645
EVANS,61,0.004452
MIKEL,61,0.004371
DILLARD,61,0.004266
ARTIS,61,0.003252
TARA,60,0.095842
BETHANY,60,0.047423
SHELLEY,60,0.039180
ROBYN,60,0.032154
BLANCH,60,0.012635
BLANCA,60,0.011968
LAVONNE,60,0.011084
DARCY,60,0.010223
WESTON,60,0.009609
HORTENSE,60,0.009553
OTHO,60,0.007219
ELISSA,60,0.007189
MACIE,60,0.007106
MARJORY,60,0.006872
TRESSIE,60,0.006686
ELEANORA,60,0.006346
ALBIN,60,0.006032
VELDA,60,0.005994
GERMAINE,60,0.005787
KENNITH,60,0.005449
HUEY,60,0.005024
CRAWFORD,60,0.004785
ALETHA,60,0.004657
ORAN,60,0.004523
NORINE,60,0.004312
DANIAL,60,0.004281
LOUVENIA,60,0.004112
RAYMUNDO,60,0.003462
TAMMY,59,0.181490
VANESSA,59,0.122106
RHONDA,59,0.110880
SHANE,59,0.091942
KELSEY,59,0.070694
MARSHA,59,0.058096
LULU,59,0.043410
JOHNATHAN,59,0.040327
KRISTA,59,0.039297
CANDICE,59,0.035758
LANDON,59,0.035151
KELVIN,59,0.023122
LETICIA,59,0.021701
HETTIE,59,0.018165
SONDRA,59,0.016542
FANNY,59,0.015472
MARLON,59,0.013207
GUSTAVE,59,0.012610
EARNESTINE,59,0.011388
ZORA,59,0.010687
EVIE,59,0.010059
MARA,59,0.008507
COLETTE,59,0.008181
EFRAIN,59,0.007521
MAGNOLIA,59,0.006065
DONNELL,59,0.006031
HENDERSON,59,0.005505
ALBERTHA,59,0.005375
NOVELLA,59,0.005361
ROLLIE,59,0.005150
KATTIE,59,0.004754
MILLER,59,0.004510
CLOYD,59,0.004233
PRUDENCE,59,0.004129
LOY,59,0.004076
THEADORE,59,0.003757
MARCELLUS,59,0.003707
CATHY,58,0.087904
GREG,58,0.038928
MAYME,58,0.031904
DARIUS,58,0.021584
JONAH,58,0.018735
HANNA,58,0.018156
PENELOPE,58,0.012350
ALI,58,0.010772
SOL,58,0.010712
SUSANA,58,0.009315
MAURA,58,0.008595
ANNMARIE,58,0.008269
STEFAN,58,0.008233
BEATRIZ,58,0.007361
IMA,58,0.007302
ALENE,58,0.007176
RONNY,58,0.006848
HOBERT,58,0.006799
ESTA,58,0.006459
WINNIFRED,58,0.006315
ALDA,58,0.006187
ETHELYN,58,0.006052
WYLIE,58,0.004084
LAVADA,58,0.004064
BERTRAND,58,0.003601
MEGAN,57,0.222774
TERRI,57,0.075816
MIRANDA,57,0.051034
COLE,57,0.046930
LYNDA,57,0.043677
BETTE,57,0.026535
DAMIAN,57,0.025390
CRISTINA,57,0.025353
GINGER,57,0.023875
TRENT,57,0.021899
MARLA,57,0.019484
ESMERALDA,57,0.018655
RACHELLE,57,0.017074
JEANNINE,57,0.014679
RANDAL,57,0.013932
ORPHA,57,0.012117
HILARY,57,0.012045
DESMOND,57,0.011942
LIDA,57,0.011548
LEANN,57,0.011501
LEONE,57,0.009315
ERA,57,0.008596
RUBYE,57,0.007827
TENA,57,0.007528
ALMEDA,57,0.006876
ADELLA,57,0.005790
EVALYN,57,0.005619
MADONNA,57,0.005377
LUVENIA,57,0.005273
JETTIE,57,0.005168
MICHEL,57,0.004608
BARRETT,57,0.004542
EVERT,57,0.004523
LAVON,57,0.004348
CORDELL,57,0.003808
ROWLAND,57,0.003682
RAYFORD,57,0.003471
FRANKLYN,57,0.003456
LEN,57,0.003198
LORI,56,0.181819
TONYA,56,0.068399
DIANNE,56,0.054079
PENNY,56,0.051166
ALISA,56,0.016691
RANDI,56,0.014504
TESSIE,56,0.012156
MAYBELLE,56,0.010701
KRISTIAN,56,0.009320
SCOTTY,56,0.009139
VINA,56,0.008508
ABNER,56,0.007306
ELMIRA,56,0.006092
VERGIE,56,0.005766
DELPHIA,56,0.005473
DORETHA,56,0.005389
ROSINA,56,0.005207
VERNELL,56,0.004811
HARLAND,56,0.004709
LONIE,56,0.004689
ELDORA,56,0.004607
ELDEN,56,0.004326
EDISON,56,0.003652
CONSTANTINE,56,0.003639
JACQUES,56,0.003414
LAWERENCE,56,0.003367
SABRINA,55,0.067307
MAUD,55,0.054735
BELLE,55,0.042469
DESIREE,55,0.040984
CHRISTA,55,0.016905
BROCK,55,0.016322
DEMETRIUS,55,0.015542
JENIFER,55,0.013123
NOREEN,55,0.010946
GOLDA,55,0.009847
MARTA,55,0.007390
ARLEEN,55,0.006870
MARYELLEN,55,0.006422
FLORIDA,55,0.005577
ALTHA,55,0.005272
ELNA,55,0.004873
TITUS,55,0.004691
FORD,55,0.004376
ARVID,55,0.003517
WAYMON,55,0.003048
VICKI,54,0.081532
PAIGE,54,0.058320
MONIQUE,54,0.041782
ASHTON,54,0.026951
SHARI,54,0.021370
ALLYSON,54,0.021293
TY,54,0.018010
KARIN,54,0.014687
DEANA,54,0.011532
BERNIECE,54,0.010543
SIMONE,54,0.010337
EARLENE,54,0.009560
MAURINE,54,0.009244
LYDA,54,0.009125
ISADORE,54,0.008948
LILIAN,54,0.007392
DORIAN,54,0.007390
LORINE,54,0.007201
JACKLYN,54,0.007020
LAWANDA,54,0.006410
ESTELL,54,0.006188
CASPER,54,0.005933
DUSTY,54,0.005725
CORRIE,54,0.005599
REGGIE,54,0.004880
AMALIA,54,0.004200
SHERWOOD,54,0.003969
NEWELL,54,0.003679
NELLA,54,0.003557
CARMELO,54,0.003179
LORIN,54,0.002550
DARREN,53,0.050499
GAVIN,53,0.050152
KRISTI,53,0.042150
LYNNE,53,0.034082
COLLIN,53,0.028273
VICKY,53,0.026428
MARISA,53,0.024646
GREGG,53,0.018145
JANINE,53,0.016769
FABIAN,53,0.013915
MARGO,53,0.011335
FRANCESCA,53,0.011162
MARITZA,53,0.010397
MOISES,53,0.009818
ZULA,53,0.009292
ATHENA,53,0.008543
KURTIS,53,0.008173
GUSTAV,53,0.007427
MONTY,53,0.007163
ELOUISE,53,0.007108
BENJIMAN,53,0.006505
DONNY,53,0.005969
JUDGE,53,0.005778
EMMIE,53,0.005454
VERNICE,53,0.005407
ANGUS,53,0.004791
ROXANNA,53,0.004748
RHETT,53,0.004595
ARVILLA,53,0.004168
TALMADGE,53,0.004135
ANTONY,53,0.003949
ROSIA,53,0.003849
MARGARETT,53,0.003617
ARDELLA,53,0.003483
DYLAN,52,0.132098
ERIKA,52,0.063539
GABRIELLE,52,0.056781
SHERYL,52,0.041507
KRISTY,52,0.038414
SHERRIE,52,0.018615
MYRTIE,52,0.011651
NANETTE,52,0.008652
DERICK,52,0.008568
CARLENE,52,0.007900
NOEMI,52,0.007843
ALBINA,52,0.007417
GENA,52,0.006644
EMMET,52,0.006474
GILDA,52,0.006110
MARI,52,0.006087
VERLA,52,0.005452
MARVEL,52,0.005258
BERENICE,52,0.005135
ERICH,52,0.005124
OSWALD,52,0.004657
HAMILTON,52,0.004563
BULAH,52,0.004550
EULALIA,52,0.004501
ELIZEBETH,52,0.004145
NOVA,52,0.003932
DWAIN,52,0.003842
KEVEN,52,0.003662
LOYAL,52,0.003660
ADELINA,52,0.003197
TREVOR,51,0.069986
KARA,51,0.048835
KRISTOPHER,51,0.029695
KIRSTEN,51,0.026507
PATTI,51,0.023489
DARLA,51,0.021225
PATRICE,51,0.017139
BRET,51,0.014584
SHAUNA,51,0.014484
TIMMY,51,0.012152
BOBBI,51,0.011978
JERI,51,0.011341
AXEL,51,0.008588
RUSTY,51,0.008374
DION,51,0.007963
KEENAN,51,0.006990
PINKIE,51,0.006595
FERNE,51,0.006016
TOBIAS,51,0.005898
LEONEL,51,0.005716
ALVARO,51,0.005684
VONDA,51,0.005582
MARYJANE,51,0.005149
ELENORA,51,0.004477
CARMEL,51,0.003977
JOSEFA,51,0.003497
GASTON,51,0.003387
WILLAM,51,0.003031
ELISEO,51,0.002608
BROOKE,50,0.084550
MACKENZIE,50,0.048785
SHERRI,50,0.044595
ANGELICA,50,0.042219
KARI,50,0.031521
BETTYE,50,0.017046
TORI,50,0.016253
JEFFRY,50,0.007065
EDA,50,0.006185
MALISSA,50,0.005725
ZACK,50,0.005632
LAVINIA,50,0.005174
SMITH,50,0.005108
RUBIE,50,0.004640
MADIE,50,0.004558
JERROLD,50,0.004463
DANNIE,50,0.004361
RANDELL,50,0.004317
ERROL,50,0.003968
HERIBERTO,50,0.003876
LOLITA,50,0.003794
ALOIS,50,0.003761
TILLMAN,50,0.003729
ANNIS,50,0.003519
REYNOLD,50,0.002940
KAYLA,49,0.154155
KELLI,49,0.040545
KRYSTAL,49,0.037762
ADRIANA,49,0.035475
SHERI,49,0.032392
TABITHA,49,0.029616
CHERI,49,0.019110
MATHILDA,49,0.018877
TANIA,49,0.013455
ALYSON,49,0.012025
KENYA,49,0.011565
SUDIE,49,0.008178
DEIDRE,49,0.007458
ADELIA,49,0.006217
CELINA,49,0.006086
LOURDES,49,0.005761
QUINTIN,49,0.005583
VIVA,49,0.004630
HASKELL,49,0.003789
BETHEL,49,0.003691
RICHMOND,49,0.003635
CORENE,49,0.003522
ANNABELL,49,0.003406
REGIS,49,0.002888
TIFFANY,48,0.179312
BRANDY,48,0.059341
VICKIE,48,0.056926
JODI,48,0.043614
TRISTAN,48,0.035273
DIEGO,48,0.033276
KELLIE,48,0.026890
SHAWNA,48,0.024470
MINDY,48,0.021913
KRISTIE,48,0.020954
TIA,48,0.016128
NELLE,48,0.015808
CANDY,48,0.013904
META,48,0.013513
TRUDY,48,0.013253
MARIBEL,48,0.011706
CHUCK,48,0.008881
HOLLIE,48,0.008639
ROSEANN,48,0.008036
MARYLOU,48,0.007377
BRYON,48,0.006794
JAYME,48,0.006459
HOBART,48,0.006288
DORTHA,48,0.006126
ELZA,48,0.004550
MYRTICE,48,0.004475
WATSON,48,0.004024
BRADLY,48,0.003918
MELVILLE,48,0.003777
BRANT,48,0.003688
NEDRA,48,0.003668
NORENE,48,0.003357
VAL,48,0.002877
MARIANO,48,0.002549
PAULETTE,47,0.024374
TERI,47,0.022542
SKYLER,47,0.021217
SKYLAR,47,0.020847
BESS,47,0.019315
RONDA,47,0.018124
HULDA,47,0.016958
DARIN,47,0.016695
MARISOL,47,0.015289
ANGELIQUE,47,0.012210
DARIAN,47,0.008142
RODRIGO,47,0.008047
DEIRDRE,47,0.007980
DEANNE,47,0.007700
HILMA,47,0.006156
DEON,47,0.006012
WM,47,0.005916
COLEEN,47,0.005666
HEDWIG,47,0.005211
MARKUS,47,0.005210
BROOK,47,0.004941
PEARLINE,47,0.004684
ROSELYN,47,0.004121
OUIDA,47,0.004034
JENNINGS,47,0.003940
VELVA,47,0.003930
VERONA,47,0.003913
ANTONETTE,47,0.003756
DONN,47,0.003481
KATHRYNE,47,0.003441
ELVIE,47,0.003232
WINFORD,47,0.003101
TRINIDAD,47,0.003081
LLEWELLYN,47,0.002886
LORAN,47,0.002507
DOUGLASS,47,0.002436
DERRELL,47,0.001930
ALYSSA,46,0.133141
SHELIA,46,0.024583
TRENTON,46,0.021170
GIOVANNI,46,0.018066
DARRIN,46,0.015025
HILLARY,46,0.013706
MARCY,46,0.010754
JARRETT,46,0.010130
BEVERLEY,46,0.008655
LILLA,46,0.007498
MAURICIO,46,0.007365
JANNA,46,0.006527
ARCHIBALD,46,0.006328
ROSALINDA,46,0.005795
GARRET,46,0.005552
DARLEEN,46,0.004348
ADELBERT,46,0.003798
ORAL,46,0.003747
VESTER,46,0.003096
BRODERICK,46,0.002915
ARDELL,46,0.002460
ALFONZO,46,0.001997
MARISSA,45,0.056762
MIA,45,0.050727
ALISHA,45,0.028005
KERRI,45,0.019989
TRINA,45,0.016613
TREY,45,0.014894
JAYSON,45,0.012393
NOELLE,45,0.011884
BRIDGETTE,45,0.011038
KENDRICK,45,0.010472
PEARLE,45,0.007628
RICKIE,45,0.007479
DAYNA,45,0.006336
MOZELLE,45,0.005485
LUDIE,45,0.005403
ELVERA,45,0.005068
FILOMENA,45,0.005012
SHAYNE,45,0.004598
ROSEVELT,45,0.004294
SHERRILL,45,0.004244
DORENE,45,0.004168
GRAYCE,45,0.003994
VINCE,45,0.003894
ADALINE,45,0.003893
JEROLD,45,0.003892
LYLA,45,0.003883
IDELL,45,0.003861
QUEENIE,45,0.003756
ROSAMOND,45,0.003603
TRESSA,45,0.003578
THORNTON,45,0.003529
URBAN,45,0.003523
NETA,45,0.003062
LAMBERT,45,0.002922
EMMIT,45,0.002781
CURTISS,45,0.002198
DUKE,45,0.002143
DENNIE,45,0.002035
NATASHA,44,0.048823
GABRIELA,44,0.032395
KIMBERLEY,44,0.019596
CLAUDETTE,44,0.011220
HYMAN,44,0.009161
KIMBERLEE,44,0.008426
VALARIE,44,0.008158
JERRI,44,0.007579
KORY,44,0.006442
MITZI,44,0.005914
VALLIE,44,0.004847
PATRICA,44,0.004412
CHRIST,44,0.004281
VERDIE,44,0.003750
ENOS,44,0.003744
RODRICK,44,0.003507
ROSALIA,44,0.003144
BEAULAH,44,0.002851
GLYNN,44,0.002399
WARDELL,44,0.002097
MEGHAN,43,0.048326
DAKOTA,43,0.046830
PEYTON,43,0.028554
ALISSA,43,0.017553
TESSA,43,0.017362
KERI,43,0.017062
CHANCE,43,0.016236
TYSON,43,0.015145
HEATH,43,0.013543
LARA,43,0.012717
DOUG,43,0.011169
MELISA,43,0.009026
CHAS,43,0.007594
LYNNETTE,43,0.007085
RENAE,43,0.006024
BRENTON,43,0.005864
LEEANN,43,0.005826
RIGOBERTO,43,0.004436
LUCIE,43,0.004206
DINAH,43,0.004157
CLEMMIE,43,0.004141
TANA,43,0.003957
WILFREDO,43,0.003740
IGNATIUS,43,0.003218
JOSEF,43,0.003199
JED,43,0.003120
EDYTH,43,0.002899
ENNIS,43,0.002809
FREEDA,43,0.002779
CARMELITA,43,0.002541
BRANDI,42,0.055393
TRICIA,42,0.021954
MAYRA,42,0.015531
CHANDLER,42,0.014884
