name,years_in_top1000,total_share
WANDA,110,0.193833
YVONNE,110,0.100594
WILLARD,110,0.093192
ARCHIE,110,0.081714
MACK,110,0.054990
RENA,110,0.045992
WILBERT,110,0.039994
ADRIENNE,110,0.037421
NADINE,110,0.034773
EDMOND,110,0.027513
CORRINE,110,0.015330
HOUSTON,110,0.012823
JANICE,109,0.252574
PEGGY,109,0.198037
SUZANNE,109,0.129181
HORACE,109,0.084091
RUFUS,109,0.057885
CLEVELAND,109,0.028329
GALE,109,0.020324
MATT,109,0.019309
COY,109,0.013436
CRAIG,108,0.157341
SUSIE,108,0.135645
LOLA,108,0.100580
BERT,108,0.068801
ROSALIE,108,0.056657
PERCY,108,0.054563
LUCINDA,108,0.033117
SALVADOR,108,0.025115
ROCCO,108,0.015781
REID,108,0.011867
IGNACIO,108,0.010343
PRINCE,108,0.009882
DENVER,108,0.009754
GEORGINA,108,0.008795
THELMA,107,0.249216
JUDY,107,0.232918
VIOLET,107,0.119832
HILDA,107,0.104979
MARIO,107,0.073578
HUBERT,107,0.072203
DELBERT,107,0.046526
GERARD,107,0.037546
DIXIE,107,0.031611
ELTON,107,0.018987
MALINDA,107,0.018185
AL,107,0.016871
ALPHONSO,107,0.011290
JUDSON,107,0.010164
VICENTE,107,0.009660
CLAUDIE,107,0.008735
CRUZ,107,0.007712
LILA,106,0.051592
WYATT,106,0.036539
MONA,106,0.032312
DAMON,106,0.031845
AUGUSTUS,106,0.018558
GRETA,106,0.013616
ALDEN,106,0.009856
AGNES,105,0.275915
LUCILLE,105,0.245381
PHYLLIS,105,0.243348
VERA,105,0.164004
SUE,105,0.109738
LOWELL,105,0.036528
EUGENIA,105,0.030409
JULIO,105,0.028790
GARLAND,105,0.023370
DONOVAN,105,0.022986
FOREST,105,0.019535
THERON,105,0.009340
MARCEL,105,0.009319
GERTRUDE,104,0.358185
LEONA,104,0.142851
RONNIE,104,0.102057
BOB,104,0.080001
EMIL,104,0.056096
ROBERTO,104,0.053787
TIM,104,0.045691
RAMONA,104,0.045003
GRACIE,104,0.042744
SEBASTIAN,104,0.036768
WILFRED,104,0.034691
ANGELINE,104,0.033166
ERNESTO,104,0.021454
EMILIE,104,0.020195
EMERY,104,0.020194
BRADFORD,104,0.018049
ROYCE,104,0.015236
DARWIN,104,0.014699
ROSANNA,104,0.009788
BENITO,104,0.008039
MARILYN,103,0.254322
HOMER,103,0.108117
MARGIE,103,0.090472
ROSIE,103,0.089674
WILBUR,103,0.077543
DUANE,103,0.072481
ELBERT,103,0.047995
EDUARDO,103,0.044144
BOYD,103,0.027661
THERESE,103,0.022360
PHOEBE,103,0.022245
HIRAM,103,0.021760
ANASTASIA,103,0.019916
HARLAN,103,0.018953
NICKOLAS,103,0.018888
CAMILLA,103,0.010382
MABEL,102,0.328687
SHAWN,102,0.173277
RENEE,102,0.101202
ADDIE,102,0.084876
ESSIE,102,0.065566
DEWEY,102,0.048569
BURTON,102,0.025037
JULIANA,102,0.020152
RAE,102,0.018734
ASA,102,0.015662
BRUNO,102,0.011537
ERNIE,102,0.011132
CARLO,102,0.008552
SHELTON,102,0.007491
GARNETT,102,0.006611
GREGORIO,102,0.006205
SHARON,101,0.419792
HATTIE,101,0.219571
SOPHIE,101,0.080607
RAUL,101,0.042961
ARMANDO,101,0.035767
NICOLAS,101,0.033693
MANDY,101,0.029682
QUENTIN,101,0.019268
RUSSEL,101,0.016249
NORRIS,101,0.014686
HOLLIS,101,0.013979
ARMAND,101,0.012631
JULIETTE,101,0.010305
VERNIE,101,0.009911
GERALDINE,100,0.169381
STACEY,100,0.089058
FAYE,100,0.059333
JODY,100,0.045129
SONIA,100,0.035972
ARTURO,100,0.026351
SAMMY,100,0.025338
MADELEINE,100,0.020525
TOBY,100,0.018019
WALKER,100,0.014647
KEVIN,99,0.574104
RYAN,99,0.436867
DIANE,99,0.293814
DELLA,99,0.121637
JO,99,0.114532
LINDSAY,99,0.069820
RICARDO,99,0.065286
